neighborhood,total.crime.statement,total.crime.number,total.crime.change.statement,total.crime.city.statement,total.crime.city.change.statement
Glenwood Meadows,There were 14 crimes recorded during the month of June.,14,That's up 2 from the previous month's total of 12.,There were 2832 crimes recorded across all of Sacramento during the month of June.,That's down 381 from the previous month's total of 3213.
Golf Course Terrace,There were 8 crimes recorded during the month of June.,8,That's down 1 from the previous month's total of 9.,There were 2832 crimes recorded across all of Sacramento during the month of June.,That's down 381 from the previous month's total of 3213.
Granite Regional Park,There were 8 crimes recorded during the month of June.,8,That's up 4 from the previous month's total of 4.,There were 2832 crimes recorded across all of Sacramento during the month of June.,That's down 381 from the previous month's total of 3213.
Greenbriar,There have been no crimes recorded in this neighborhood this year.,0,There have been no crimes recorded in this neighborhood this year.,There were 2832 crimes recorded across all of Sacramento during the month of June.,That's down 381 from the previous month's total of 3213.
Greenhaven,There were 30 crimes recorded during the month of June.,30,That's up 7 from the previous month's total of 23.,There were 2832 crimes recorded across all of Sacramento during the month of June.,That's down 381 from the previous month's total of 3213.
Hagginwood,There were 33 crimes recorded during the month of June.,33,That's down 2 from the previous month's total of 35.,There were 2832 crimes recorded across all of Sacramento during the month of June.,That's down 381 from the previous month's total of 3213.
Hansen Park Golf Course Site,There have been no crimes recorded in this neighborhood this year.,0,There have been no crimes recorded in this neighborhood this year.,There were 2832 crimes recorded across all of Sacramento during the month of June.,That's down 381 from the previous month's total of 3213.
Heritage Park,There were 7 crimes recorded during the month of June.,7,That's up 4 from the previous month's total of 3.,There were 2832 crimes recorded across all of Sacramento during the month of June.,That's down 381 from the previous month's total of 3213.
Hollywood Park,There were 17 crimes recorded during the month of June.,17,That's up 10 from the previous month's total of 7.,There were 2832 crimes recorded across all of Sacramento during the month of June.,That's down 381 from the previous month's total of 3213.
Johnson Business Park,There were 6 crimes recorded during the month of June.,6,That's down 7 from the previous month's total of 13.,There were 2832 crimes recorded across all of Sacramento during the month of June.,That's down 381 from the previous month's total of 3213.
Johnson Heights,There have been no crimes recorded in this neighborhood this year.,0,There have been no crimes recorded in this neighborhood this year.,There were 2832 crimes recorded across all of Sacramento during the month of June.,That's down 381 from the previous month's total of 3213.
Land Park,There were 58 crimes recorded during the month of June.,58,That's down 27 from the previous month's total of 85.,There were 2832 crimes recorded across all of Sacramento during the month of June.,That's down 381 from the previous month's total of 3213.
Lawrence Park,There have been no crimes recorded in this neighborhood this year.,0,There have been no crimes recorded in this neighborhood this year.,There were 2832 crimes recorded across all of Sacramento during the month of June.,That's down 381 from the previous month's total of 3213.
Little Pocket,There were 16 crimes recorded during the month of June.,16,That's up 3 from the previous month's total of 13.,There were 2832 crimes recorded across all of Sacramento during the month of June.,That's down 381 from the previous month's total of 3213.
Mangan Park,There were 4 crimes recorded during the month of June.,4,That's up 2 from the previous month's total of 2.,There were 2832 crimes recorded across all of Sacramento during the month of June.,That's down 381 from the previous month's total of 3213.
Mansion Flats,There were 12 crimes recorded during the month of June.,12,That's down 6 from the previous month's total of 18.,There were 2832 crimes recorded across all of Sacramento during the month of June.,That's down 381 from the previous month's total of 3213.
Marshall School,There were 17 crimes recorded during the month of June.,17,That's up 10 from the previous month's total of 7.,There were 2832 crimes recorded across all of Sacramento during the month of June.,That's down 381 from the previous month's total of 3213.
Meadowview,There were 91 crimes recorded during the month of June.,91,That's down 36 from the previous month's total of 127.,There were 2832 crimes recorded across all of Sacramento during the month of June.,That's down 381 from the previous month's total of 3213.
Med Center,There were 10 crimes recorded during the month of June.,10,That's up 2 from the previous month's total of 8.,There were 2832 crimes recorded across all of Sacramento during the month of June.,That's down 381 from the previous month's total of 3213.
Metro Center,There have been no crimes recorded in this neighborhood this year.,0,There have been no crimes recorded in this neighborhood this year.,There were 2832 crimes recorded across all of Sacramento during the month of June.,That's down 381 from the previous month's total of 3213.
Midtown / Winn Park / Capital Avenue,There were 103 crimes recorded during the month of June.,103,That's up 1 from the previous month's total of 102.,There were 2832 crimes recorded across all of Sacramento during the month of June.,That's down 381 from the previous month's total of 3213.
Morrison Creek,There were 7 crimes recorded during the month of June.,7,That's down 2 from the previous month's total of 9.,There were 2832 crimes recorded across all of Sacramento during the month of June.,That's down 381 from the previous month's total of 3213.
Natomas Corporate Center,There were 1 crimes recorded during the month of June.,1,That's no change from the previous month's total of 1.,There were 2832 crimes recorded across all of Sacramento during the month of June.,That's down 381 from the previous month's total of 3213.
Natomas Creek,There were 1 crimes recorded during the month of June.,1,That's down 1 from the previous month's total of 2.,There were 2832 crimes recorded across all of Sacramento during the month of June.,That's down 381 from the previous month's total of 3213.
Natomas Crossing,There were 42 crimes recorded during the month of June.,42,That's up 6 from the previous month's total of 36.,There were 2832 crimes recorded across all of Sacramento during the month of June.,That's down 381 from the previous month's total of 3213.
Natomas Park,There were 26 crimes recorded during the month of June.,26,That's up 7 from the previous month's total of 19.,There were 2832 crimes recorded across all of Sacramento during the month of June.,That's down 381 from the previous month's total of 3213.
New Brighton,There were 3 crimes recorded during the month of June.,3,That's up 2 from the previous month's total of 1.,There were 2832 crimes recorded across all of Sacramento during the month of June.,That's down 381 from the previous month's total of 3213.
New Era Park,There were 10 crimes recorded during the month of June.,10,That's down 6 from the previous month's total of 16.,There were 2832 crimes recorded across all of Sacramento during the month of June.,That's down 381 from the previous month's total of 3213.
Newton Booth,There were 52 crimes recorded during the month of June.,52,That's up 13 from the previous month's total of 39.,There were 2832 crimes recorded across all of Sacramento during the month of June.,That's down 381 from the previous month's total of 3213.
Noralto,There were 24 crimes recorded during the month of June.,24,That's up 5 from the previous month's total of 19.,There were 2832 crimes recorded across all of Sacramento during the month of June.,That's down 381 from the previous month's total of 3213.
North City Farms,There were 19 crimes recorded during the month of June.,19,That's no change from the previous month's total of 19.,There were 2832 crimes recorded across all of Sacramento during the month of June.,That's down 381 from the previous month's total of 3213.
North Oak Park,There were 24 crimes recorded during the month of June.,24,That's down 4 from the previous month's total of 28.,There were 2832 crimes recorded across all of Sacramento during the month of June.,That's down 381 from the previous month's total of 3213.
Northgate,There were 6 crimes recorded during the month of June.,6,That's down 11 from the previous month's total of 17.,There were 2832 crimes recorded across all of Sacramento during the month of June.,That's down 381 from the previous month's total of 3213.
Northpointe,There have been no crimes recorded in this neighborhood this year.,0,There have been no crimes recorded in this neighborhood this year.,There were 2832 crimes recorded across all of Sacramento during the month of June.,That's down 381 from the previous month's total of 3213.
Norwood I-80,There have been no crimes recorded in this neighborhood this year.,0,There have been no crimes recorded in this neighborhood this year.,There were 2832 crimes recorded across all of Sacramento during the month of June.,That's down 381 from the previous month's total of 3213.
Norwood Tech,There have been no crimes recorded in this neighborhood this year.,0,There have been no crimes recorded in this neighborhood this year.,There were 2832 crimes recorded across all of Sacramento during the month of June.,That's down 381 from the previous month's total of 3213.
Oak Knoll,There were 5 crimes recorded during the month of June.,5,That's down 2 from the previous month's total of 7.,There were 2832 crimes recorded across all of Sacramento during the month of June.,That's down 381 from the previous month's total of 3213.
Old North Sacramento,There were 68 crimes recorded during the month of June.,68,That's down 9 from the previous month's total of 77.,There were 2832 crimes recorded across all of Sacramento during the month of June.,That's down 381 from the previous month's total of 3213.
Old Sacramento,There were 30 crimes recorded during the month of June.,30,That's down 2 from the previous month's total of 32.,There were 2832 crimes recorded across all of Sacramento during the month of June.,That's down 381 from the previous month's total of 3213.
Parker Homes,There have been no crimes recorded in this neighborhood this year.,0,There have been no crimes recorded in this neighborhood this year.,There were 2832 crimes recorded across all of Sacramento during the month of June.,That's down 381 from the previous month's total of 3213.
Parkway,There were 100 crimes recorded during the month of June.,100,That's down 4 from the previous month's total of 104.,There were 2832 crimes recorded across all of Sacramento during the month of June.,That's down 381 from the previous month's total of 3213.
